时间坐标,穿透率,处理效率,进口浓度,出口浓度,风速段,数据点数,计算规则,拼接时间段
438.0933333333333,0.2252942732854389,77.47057267145611,56.731681986419126,6.390661532695461,,3,规则2-拼接段,555_556
440.02958333333333,0.3016354797309855,69.83645202690145,24.65143678715917,14.87149592270564,,3,规则2-拼接段,557_558
440.1045833333333,0.2461458303095309,75.3854169690469,45.31994545354756,11.155315603246114,,2,规则2-拼接段,559_560
440.94944444444445,0.25710044414134914,74.28995558586509,56.202485369004854,4.816561316739608,,4,规则2-拼接段,561_562
441.8377777777778,0.29805284857295306,70.1947151427047,40.10132388747176,11.952313816207564,,4,规则2-拼接段,563_564
442.7922222222222,0.3372603738914958,66.27396261085042,36.270972126459114,8.15517441385175,,5,规则2-拼接段,565_566
443.72263888888887,0.24294706495940405,75.7052935040596,39.42241428343817,9.577559843774992,,2,规则2-拼接段,567_568
443.80916666666667,0.382175189825191,61.7824810174809,30.578411901326408,11.6863103729423,,4,规则2-拼接段,569_570
443.93111111111114,0.3122579815242811,68.77420184757189,48.12737227767402,7.514078061747065,,3,规则2-拼接段,571_572
444.0265277777778,0.2573313500187619,74.26686499812381,37.03103009482903,9.529244966887754,,2,规则2-拼接段,573_574
453.57652777777776,0.34686786639534634,65.31321336046537,24.161346457498194,16.761589389902312,,3,规则2-拼接段,575_576
453.62652777777777,0.23482286528738416,76.51771347126159,38.39234776994647,9.015401108448543,,2,规则2-拼接段,577_578
453.69902777777776,0.25907750247264166,74.09224975273582,39.45291722905751,10.221363260964075,,4,规则2-拼接段,579_580
453.7763888888889,0.23004961152066952,76.99503884793305,56.06087539779065,6.4483913033852005,,3,规则2-拼接段,581_582
453.8301388888889,0.3179493418907595,68.20506581092405,25.033635742698166,15.918856019047753,,3,规则2-拼接段,583_584
456.20472222222224,0.28891964990410923,71.10803500958907,20.702268668781556,17.943876648015532,,4,规则2-拼接段,585_586
457.3466666666667,0.3035219438262173,69.64780561737827,28.362363147970086,8.608599594176951,,4,规则2-拼接段,587_588
457.4327777777778,0.30353325763953976,69.64667423604602,41.025138611469046,6.2262469839264325,,3,规则2-拼接段,589_590
457.50638888888886,0.28119687658153897,71.8803123418461,33.42636993410012,9.399390820928017,,2,规则2-拼接段,591_592
459.9429166666667,0.14434426834409875,85.56557316559012,26.27712428537721,7.585904558319444,,3,规则2-拼接段,593_594
460.03472222222223,0.15439416142037993,84.56058385796202,38.23450403675988,5.903184188079673,,2,规则2-拼接段,595_596
460.1118055555556,0.15963113900206843,84.03688609979316,40.465432881654074,3.229771570555096,,3,规则2-拼接段,597_598
461.8745833333333,0.25792565192905126,74.20743480709487,26.001317276584768,13.41281341915446,,3,规则2-拼接段,599_600
461.9186111111111,0.14408747604560798,85.5912523954392,41.540107740828574,5.985409279038612,,2,规则2-拼接段,601_602
462.0158333333333,0.27572967243785007,72.427032756215,35.390539925250025,9.758221980987845,,4,规则2-拼接段,603_604
462.79055555555556,0.2971347405316525,70.28652594683476,39.42461882096935,11.714423883928031,,4,规则2-拼接段,605_606
